,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Debtor status
192,between 0 & 200 DM,27,existing credits paid back duly till now,business,3915,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,bad
193,no checking account,6,existing credits paid back duly till now,radio/television,2108,"less, than 100 DM",between 4 & 7 years,2,male & married/widowed,none,2,real estate,29,none,rent,1,skilled employee/official,1,none,yes,good
194,between 0 & 200 DM,45,existing credits paid back duly till now,radio/television,3031,between 100 & 500 DM,between 1 & 4 years,4,male & single,guarantor,4,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,bad
195,between 0 & 200 DM,9,critical account/other credits existing (not at this bank),education,1501,"less, than 100 DM","more, than 7 years",2,female & divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
196,no checking account,6,critical account/other credits existing (not at this bank),radio/television,1382,"less, than 100 DM",between 1 & 4 years,1,female & divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
197,between 0 & 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,between 100 & 500 DM,"less, than 1 year",4,female & divorced/separated/married,none,4,"car or other, not in attribute 6",27,bank,rent,4,skilled employee/official,1,none,yes,bad
198,between 0 & 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/no savings account,"more, than 7 years",4,male & single,none,4,unknown/no property,36,bank,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
199,between 0 & 200 DM,18,delay in paying off in the past,furniture/equipment,4297,"less, than 100 DM","more, than 7 years",4,male & divorced/separated,none,3,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
200,no checking account,9,critical account/other credits existing (not at this bank),education,936,between 500 & 1000 DM,"more, than 7 years",4,male & single,none,2,"car or other, not in attribute 6",52,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
201,"less, than 0 DM",12,existing credits paid back duly till now,car (new),1168,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,none,3,real estate,27,none,own,1,unskilled & resident,1,none,yes,good
202,no checking account,27,delay in paying off in the past,business,5117,"less, than 100 DM",between 4 & 7 years,3,male & single,none,4,"car or other, not in attribute 6",26,none,own,2,skilled employee/official,1,none,yes,good
203,"less, than 0 DM",12,existing credits paid back duly till now,retraining,902,"less, than 100 DM",between 4 & 7 years,4,male & married/widowed,none,4,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,bad
204,no checking account,12,critical account/other credits existing (not at this bank),car (new),1495,"less, than 100 DM","more, than 7 years",4,male & single,none,1,real estate,38,none,own,2,unskilled & resident,2,none,yes,good
205,"less, than 0 DM",30,critical account/other credits existing (not at this bank),car (used),10623,"less, than 100 DM","more, than 7 years",3,male & single,none,4,unknown/no property,38,none,for free,3,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,good
206,no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,1935,"less, than 100 DM","more, than 7 years",4,male & single,none,4,real estate,43,none,own,3,skilled employee/official,1,"yes, registered under the customers name",yes,good
207,between 0 & 200 DM,12,critical account/other credits existing (not at this bank),domestic appliances,1424,"less, than 100 DM",between 4 & 7 years,4,male & single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,none,yes,good
208,"less, than 0 DM",24,existing credits paid back duly till now,business,6568,"less, than 100 DM",between 1 & 4 years,2,male & married/widowed,none,2,"car or other, not in attribute 6",21,stores,own,1,unskilled & resident,1,none,yes,good
209,no checking account,12,existing credits paid back duly till now,car (used),1413,"more, than 1000 DM",between 4 & 7 years,3,male & single,none,2,building society savings agreement/life insurance,55,none,own,1,skilled employee/official,1,none,no,good
210,no checking account,9,critical account/other credits existing (not at this bank),radio/television,3074,unknown/no savings account,between 1 & 4 years,1,male & single,none,2,real estate,33,none,own,2,skilled employee/official,2,none,yes,good
211,no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/no savings account,"more, than 7 years",2,female & divorced/separated/married,none,4,real estate,45,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,good
212,"less, than 0 DM",27,no credits taken/all credits paid back duly,business,5293,"less, than 100 DM",unemployed,2,male & single,none,4,building society savings agreement/life insurance,50,stores,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
213,"more, than 200 DM",30,delay in paying off in the past,business,1908,"less, than 100 DM","more, than 7 years",4,male & single,none,4,real estate,66,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
214,no checking account,36,critical account/other credits existing (not at this bank),radio/television,3342,unknown/no savings account,"more, than 7 years",4,male & single,none,2,"car or other, not in attribute 6",51,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
215,between 0 & 200 DM,6,critical account/other credits existing (not at this bank),retraining,932,unknown/no savings account,between 4 & 7 years,1,female & divorced/separated/married,none,3,building society savings agreement/life insurance,39,none,own,2,unskilled & resident,1,none,yes,good
216,"less, than 0 DM",18,no credits taken/all credits paid back duly,business,3104,"less, than 100 DM",between 4 & 7 years,3,male & single,none,1,building society savings agreement/life insurance,31,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
217,"more, than 200 DM",36,existing credits paid back duly till now,radio/television,3913,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,real estate,23,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
218,"less, than 0 DM",24,existing credits paid back duly till now,furniture/equipment,3021,"less, than 100 DM",between 1 & 4 years,2,male & divorced/separated,none,2,real estate,24,none,rent,1,unskilled & resident,1,none,yes,good
219,no checking account,10,existing credits paid back duly till now,car (new),1364,"less, than 100 DM",between 1 & 4 years,2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",64,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
220,between 0 & 200 DM,12,existing credits paid back duly till now,radio/television,625,"less, than 100 DM","less, than 1 year",4,male & married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled & resident,1,none,yes,good
221,"less, than 0 DM",12,existing credits paid back duly till now,education,1200,unknown/no savings account,between 1 & 4 years,4,female & divorced/separated/married,none,4,building society savings agreement/life insurance,23,bank,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
222,no checking account,12,existing credits paid back duly till now,radio/television,707,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,real estate,30,bank,own,2,skilled employee/official,1,none,yes,good
223,no checking account,24,delay in paying off in the past,business,2978,unknown/no savings account,between 1 & 4 years,4,male & single,none,4,real estate,32,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,good
224,no checking account,15,existing credits paid back duly till now,car (used),4657,"less, than 100 DM",between 1 & 4 years,3,male & single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
225,no checking account,36,no credits taken/all credits paid back duly,repairs,2613,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee/official,1,none,yes,good
226,between 0 & 200 DM,48,existing credits paid back duly till now,radio/television,10961,"more, than 1000 DM",between 4 & 7 years,1,male & single,co-applicant,2,unknown/no property,27,bank,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
227,"less, than 0 DM",12,existing credits paid back duly till now,furniture/equipment,7865,"less, than 100 DM","more, than 7 years",4,male & single,none,4,unknown/no property,53,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
228,no checking account,9,existing credits paid back duly till now,radio/television,1478,"less, than 100 DM",between 4 & 7 years,4,male & single,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee/official,1,none,yes,bad
229,"less, than 0 DM",24,existing credits paid back duly till now,furniture/equipment,3149,"less, than 100 DM","less, than 1 year",4,male & single,none,1,unknown/no property,22,bank,for free,1,skilled employee/official,1,none,yes,good
230,"more, than 200 DM",36,existing credits paid back duly till now,radio/television,4210,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,"car or other, not in attribute 6",26,none,own,1,skilled employee/official,1,none,yes,bad
231,no checking account,9,existing credits paid back duly till now,car (new),2507,between 500 & 1000 DM,"more, than 7 years",2,male & single,none,4,unknown/no property,51,none,for free,1,unskilled & resident,1,none,yes,good
232,no checking account,12,existing credits paid back duly till now,radio/television,2141,between 100 & 500 DM,between 4 & 7 years,3,male & single,none,1,unknown/no property,35,none,own,1,skilled employee/official,1,none,yes,good
233,between 0 & 200 DM,18,existing credits paid back duly till now,radio/television,866,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,guarantor,2,real estate,25,none,own,1,unskilled & resident,1,none,yes,good
234,no checking account,4,critical account/other credits existing (not at this bank),radio/television,1544,"less, than 100 DM",between 4 & 7 years,2,male & single,none,1,real estate,42,none,own,3,unskilled & resident,2,none,yes,good
235,"less, than 0 DM",24,existing credits paid back duly till now,radio/television,1823,"less, than 100 DM",unemployed,4,male & single,none,2,"car or other, not in attribute 6",30,stores,own,1,management/self-employed/highly qualified employee/officer,2,none,yes,bad
236,between 0 & 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/no savings account,unemployed,1,male & single,none,2,building society savings agreement/life insurance,23,none,own,1,unemployed/unskilled & non-resident,1,"yes, registered under the customers name",yes,bad
237,between 0 & 200 DM,21,existing credits paid back duly till now,business,2767,between 100 & 500 DM,"more, than 7 years",4,male & divorced/separated,none,2,"car or other, not in attribute 6",61,bank,rent,2,unskilled & resident,1,none,yes,bad
238,no checking account,12,critical account/other credits existing (not at this bank),radio/television,1291,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,2,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,none,yes,good
239,"less, than 0 DM",30,existing credits paid back duly till now,radio/television,2522,"less, than 100 DM","more, than 7 years",1,male & single,guarantor,3,building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,none,yes,good
240,"less, than 0 DM",24,existing credits paid back duly till now,car (new),915,unknown/no savings account,"more, than 7 years",4,female & divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee/official,1,none,yes,bad
241,no checking account,6,existing credits paid back duly till now,radio/television,1595,"less, than 100 DM",between 4 & 7 years,3,male & single,none,2,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,2,none,yes,good
242,"less, than 0 DM",48,no credits taken/all credits paid back duly,car (used),4605,"less, than 100 DM","more, than 7 years",3,male & single,none,4,unknown/no property,24,none,for free,2,skilled employee/official,2,none,yes,bad
243,no checking account,12,critical account/other credits existing (not at this bank),business,1185,"less, than 100 DM",between 1 & 4 years,3,female & divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/official,1,none,yes,good
244,no checking account,12,all credits at this bank paid back duly,retraining,3447,between 500 & 1000 DM,between 1 & 4 years,4,female & divorced/separated/married,none,3,real estate,35,none,own,1,unskilled & resident,2,none,yes,good
245,no checking account,24,existing credits paid back duly till now,business,1258,"less, than 100 DM",between 4 & 7 years,4,male & single,none,1,real estate,25,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
246,no checking account,12,critical account/other credits existing (not at this bank),radio/television,717,"less, than 100 DM","more, than 7 years",4,male & single,none,4,real estate,52,none,own,3,skilled employee/official,1,none,yes,good
247,no checking account,6,no credits taken/all credits paid back duly,car (new),1204,between 100 & 500 DM,between 1 & 4 years,4,male & single,none,1,unknown/no property,35,bank,rent,1,skilled employee/official,1,none,no,good
248,"more, than 200 DM",24,existing credits paid back duly till now,furniture/equipment,1925,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,real estate,26,none,own,1,skilled employee/official,1,none,yes,good
249,no checking account,18,existing credits paid back duly till now,radio/television,433,"less, than 100 DM",unemployed,3,female & divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee/official,1,none,yes,bad
250,"less, than 0 DM",6,critical account/other credits existing (not at this bank),car (new),666,"more, than 1000 DM",between 4 & 7 years,3,female & divorced/separated/married,none,4,real estate,39,none,own,2,unskilled & resident,1,"yes, registered under the customers name",yes,good
251,"more, than 200 DM",12,existing credits paid back duly till now,furniture/equipment,2251,"less, than 100 DM",between 1 & 4 years,1,female & divorced/separated/married,none,2,"car or other, not in attribute 6",46,none,own,1,unskilled & resident,1,none,yes,good
252,between 0 & 200 DM,30,existing credits paid back duly till now,car (new),2150,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,guarantor,2,unknown/no property,24,bank,own,1,skilled employee/official,1,none,yes,bad
253,no checking account,24,delay in paying off in the past,furniture/equipment,4151,between 100 & 500 DM,between 1 & 4 years,2,male & single,none,3,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,none,yes,good
254,between 0 & 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/no savings account,between 4 & 7 years,2,male & single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
255,between 0 & 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/no savings account,between 1 & 4 years,1,male & single,none,1,real estate,27,none,own,1,unskilled & resident,1,none,yes,good
256,no checking account,24,critical account/other credits existing (not at this bank),radio/television,2684,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,real estate,35,none,own,2,unskilled & resident,1,none,yes,good
257,"less, than 0 DM",12,all credits at this bank paid back duly,radio/television,2149,"less, than 100 DM",between 1 & 4 years,4,male & divorced/separated,none,1,unknown/no property,29,none,for free,1,skilled employee/official,1,none,yes,bad
258,no checking account,15,existing credits paid back duly till now,car (used),3812,between 100 & 500 DM,"less, than 1 year",1,female & divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
259,no checking account,11,critical account/other credits existing (not at this bank),radio/television,1154,between 100 & 500 DM,unemployed,4,female & divorced/separated/married,none,4,real estate,57,none,own,3,unskilled & resident,1,none,yes,good
260,"less, than 0 DM",12,existing credits paid back duly till now,furniture/equipment,1657,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,real estate,27,none,own,1,skilled employee/official,1,none,yes,good
261,"less, than 0 DM",24,existing credits paid back duly till now,radio/television,1603,"less, than 100 DM","more, than 7 years",4,female & divorced/separated/married,none,4,"car or other, not in attribute 6",55,none,own,1,skilled employee/official,1,none,yes,good
262,"less, than 0 DM",18,critical account/other credits existing (not at this bank),car (new),5302,"less, than 100 DM","more, than 7 years",2,male & single,none,4,unknown/no property,36,none,for free,3,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
263,no checking account,12,critical account/other credits existing (not at this bank),education,2748,"less, than 100 DM","more, than 7 years",2,female & divorced/separated/married,none,4,unknown/no property,57,bank,for free,3,unskilled & resident,1,none,yes,good
264,no checking account,10,critical account/other credits existing (not at this bank),car (new),1231,"less, than 100 DM","more, than 7 years",3,male & single,none,4,real estate,32,none,own,2,unskilled & resident,2,none,no,good
265,between 0 & 200 DM,15,existing credits paid back duly till now,radio/television,802,"less, than 100 DM","more, than 7 years",4,male & single,none,3,"car or other, not in attribute 6",37,none,own,1,skilled employee/official,2,none,yes,bad
266,no checking account,36,critical account/other credits existing (not at this bank),business,6304,unknown/no savings account,"more, than 7 years",4,male & single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes,good
267,no checking account,24,existing credits paid back duly till now,radio/television,1533,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,3,"car or other, not in attribute 6",38,stores,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
268,"less, than 0 DM",14,existing credits paid back duly till now,car (new),8978,"less, than 100 DM","more, than 7 years",1,male & divorced/separated,none,4,building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",no,bad
269,no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/no savings account,"more, than 7 years",4,male & single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee/official,1,none,yes,good
270,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/no savings account,between 4 & 7 years,4,male & single,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,no,good
271,no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,1402,between 500 & 1000 DM,between 4 & 7 years,3,female & divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
272,between 0 & 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/no savings account,unemployed,4,male & single,co-applicant,4,unknown/no property,36,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
273,between 0 & 200 DM,48,existing credits paid back duly till now,radio/television,3060,"less, than 100 DM",between 4 & 7 years,4,male & single,none,4,real estate,28,none,own,2,skilled employee/official,1,none,yes,bad
274,"less, than 0 DM",30,existing credits paid back duly till now,repairs,11998,"less, than 100 DM","less, than 1 year",1,male & divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,bad
275,no checking account,9,existing credits paid back duly till now,radio/television,2697,"less, than 100 DM",between 1 & 4 years,1,male & single,none,2,real estate,32,none,own,1,skilled employee/official,2,none,yes,good
276,no checking account,18,critical account/other credits existing (not at this bank),radio/television,2404,"less, than 100 DM",between 1 & 4 years,2,female & divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,skilled employee/official,1,none,yes,good
277,"less, than 0 DM",12,existing credits paid back duly till now,furniture/equipment,1262,unknown/no savings account,"more, than 7 years",2,male & divorced/separated,none,4,building society savings agreement/life insurance,49,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,good
278,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,"less, than 100 DM","less, than 1 year",1,female & divorced/separated/married,none,4,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,yes,bad
279,no checking account,24,existing credits paid back duly till now,radio/television,1901,between 100 & 500 DM,between 1 & 4 years,4,male & single,none,4,"car or other, not in attribute 6",29,none,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
280,no checking account,15,critical account/other credits existing (not at this bank),car (used),3368,"more, than 1000 DM","more, than 7 years",3,male & single,none,4,unknown/no property,23,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
281,no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,real estate,50,none,own,1,skilled employee/official,1,none,yes,good
282,"more, than 200 DM",18,all credits at this bank paid back duly,radio/television,1445,unknown/no savings account,between 4 & 7 years,4,male & single,none,4,"car or other, not in attribute 6",49,bank,own,1,unskilled & resident,1,none,yes,good
283,no checking account,15,critical account/other credits existing (not at this bank),furniture/equipment,1520,unknown/no savings account,"more, than 7 years",4,male & single,none,4,building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,none,yes,good
284,between 0 & 200 DM,24,critical account/other credits existing (not at this bank),car (new),3878,between 100 & 500 DM,"less, than 1 year",4,male & divorced/separated,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
285,"less, than 0 DM",47,existing credits paid back duly till now,car (new),10722,"less, than 100 DM","less, than 1 year",1,female & divorced/separated/married,none,1,real estate,35,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,good
286,"less, than 0 DM",48,existing credits paid back duly till now,car (used),4788,"less, than 100 DM",between 4 & 7 years,4,male & single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,none,yes,good
287,between 0 & 200 DM,48,delay in paying off in the past,others,7582,between 100 & 500 DM,unemployed,2,male & single,none,4,unknown/no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
288,between 0 & 200 DM,12,existing credits paid back duly till now,radio/television,1092,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
289,"less, than 0 DM",24,delay in paying off in the past,radio/television,1024,"less, than 100 DM","less, than 1 year",4,male & married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,none,yes,bad
290,no checking account,12,existing credits paid back duly till now,business,1076,"less, than 100 DM",between 1 & 4 years,2,male & married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",no,good
291,between 0 & 200 DM,36,existing credits paid back duly till now,car (used),9398,"less, than 100 DM","less, than 1 year",1,male & married/widowed,none,4,"car or other, not in attribute 6",28,none,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
292,"less, than 0 DM",24,critical account/other credits existing (not at this bank),car (used),6419,"less, than 100 DM","more, than 7 years",2,female & divorced/separated/married,none,4,unknown/no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,good
293,"more, than 200 DM",42,critical account/other credits existing (not at this bank),car (used),4796,"less, than 100 DM","more, than 7 years",4,male & single,none,4,unknown/no property,56,none,for free,1,skilled employee/official,1,none,yes,good
294,no checking account,48,critical account/other credits existing (not at this bank),business,7629,unknown/no savings account,"more, than 7 years",4,male & divorced/separated,none,2,"car or other, not in attribute 6",46,bank,own,2,management/self-employed/highly qualified employee/officer,2,none,yes,good
295,between 0 & 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,"less, than 100 DM","less, than 1 year",1,female & divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
296,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/no savings account,"less, than 1 year",1,female & divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee/official,1,none,yes,good
297,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/no savings account,"more, than 7 years",4,male & single,co-applicant,2,building society savings agreement/life insurance,45,none,own,1,unskilled & resident,1,none,no,good
298,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,"less, than 100 DM",between 1 & 4 years,3,male & single,none,4,real estate,43,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
299,between 0 & 200 DM,21,critical account/other credits existing (not at this bank),furniture/equipment,2745,"more, than 1000 DM",between 4 & 7 years,3,male & single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
300,no checking account,6,existing credits paid back duly till now,car (new),672,"less, than 100 DM",unemployed,1,female & divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled & non-resident,1,"yes, registered under the customers name",yes,good
301,between 0 & 200 DM,36,no credits taken/all credits paid back duly,radio/television,3804,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
302,"more, than 200 DM",24,critical account/other credits existing (not at this bank),car (new),1344,unknown/no savings account,between 4 & 7 years,4,male & single,none,2,real estate,37,bank,own,2,unskilled & resident,2,none,yes,bad
303,"less, than 0 DM",10,critical account/other credits existing (not at this bank),car (new),1038,"less, than 100 DM",between 4 & 7 years,4,male & single,co-applicant,3,building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
304,no checking account,48,critical account/other credits existing (not at this bank),car (new),10127,between 500 & 1000 DM,between 1 & 4 years,2,male & single,none,2,unknown/no property,44,bank,for free,1,skilled employee/official,1,none,yes,bad
305,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,"more, than 1000 DM",between 1 & 4 years,4,male & divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,none,yes,good
306,no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/no savings account,between 4 & 7 years,2,female & divorced/separated/married,none,4,building society savings agreement/life insurance,24,stores,rent,1,unskilled & resident,1,none,yes,good
307,"less, than 0 DM",12,existing credits paid back duly till now,radio/television,727,between 100 & 500 DM,"less, than 1 year",4,male & married/widowed,none,3,unknown/no property,33,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,bad
308,between 0 & 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,"less, than 100 DM",between 1 & 4 years,3,female & divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,none,yes,bad
309,between 0 & 200 DM,9,existing credits paid back duly till now,car (new),276,"less, than 100 DM",between 1 & 4 years,4,male & married/widowed,none,4,real estate,22,none,rent,1,unskilled & resident,1,none,yes,good
310,between 0 & 200 DM,48,existing credits paid back duly till now,others,5381,unknown/no savings account,unemployed,3,male & single,none,4,unknown/no property,40,bank,for free,1,unemployed/unskilled & non-resident,1,"yes, registered under the customers name",yes,good
311,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,between 100 & 500 DM,between 1 & 4 years,4,male & single,none,1,"car or other, not in attribute 6",25,stores,own,1,skilled employee/official,1,none,yes,good
312,"more, than 200 DM",24,existing credits paid back duly till now,furniture/equipment,3749,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,own,1,skilled employee/official,1,none,yes,good
313,between 0 & 200 DM,12,existing credits paid back duly till now,car (new),685,"less, than 100 DM",between 4 & 7 years,2,male & married/widowed,none,3,"car or other, not in attribute 6",25,bank,own,1,unskilled & resident,1,none,yes,bad
314,"more, than 200 DM",4,existing credits paid back duly till now,car (new),1494,unknown/no savings account,"less, than 1 year",1,male & single,none,2,real estate,29,none,own,1,unskilled & resident,2,none,no,good
315,"less, than 0 DM",36,all credits at this bank paid back duly,furniture/equipment,2746,"less, than 100 DM","more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",31,bank,own,1,skilled employee/official,1,none,yes,bad
316,"less, than 0 DM",12,existing credits paid back duly till now,furniture/equipment,708,"less, than 100 DM",between 1 & 4 years,2,male & single,guarantor,3,building society savings agreement/life insurance,38,none,own,1,unskilled & resident,2,none,yes,good
317,between 0 & 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/no savings account,between 1 & 4 years,1,female & divorced/separated/married,none,4,building society savings agreement/life insurance,48,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,good
318,no checking account,12,critical account/other credits existing (not at this bank),education,701,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee/official,1,none,yes,good
319,"less, than 0 DM",15,delay in paying off in the past,furniture/equipment,3643,"less, than 100 DM","more, than 7 years",1,female & divorced/separated/married,none,4,building society savings agreement/life insurance,27,none,own,2,unskilled & resident,1,none,yes,good
320,between 0 & 200 DM,30,critical account/other credits existing (not at this bank),car (new),4249,"less, than 100 DM",unemployed,4,male & married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/self-employed/highly qualified employee/officer,1,none,yes,bad
321,"less, than 0 DM",24,existing credits paid back duly till now,radio/television,1938,"less, than 100 DM","less, than 1 year",4,male & divorced/separated,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,yes,bad
322,"less, than 0 DM",24,existing credits paid back duly till now,car (used),2910,"less, than 100 DM",between 4 & 7 years,2,male & single,none,1,unknown/no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
